itlbo,mode,moea_d,nsga_ii
103.8,102.26,101.71,108.48
103.05,150.53,80.34,109.09
114.53,111.29,127.44,103.93
124.02,124.53,156.67,123.49
109.68,115.73,151.98,106.58
648.82,83.03,639.07,106.54
159.21,139.91,151.31,133.63
96.04,109.95,129.6,116.91
113.29,120.02,120.68,122.76
97.09,100.26,106.65,111.33
