itlbo,mode,moea_d,nsga_ii
7.64,22.08,41.6,7.44
31.23,105.73,20.61,7.32
4.62,7.49,4.44,3.85
7.32,27.73,18.25,29.84
4.29,60.95,81.02,6.63
2.34,15.71,37.0,5.92
3.92,32.32,17.39,21.33
2.78,18.27,22.77,27.11
2.69,10.08,90.31,12.82
10.79,57.89,87.08,20.99
