itlbo,mode,moea_d,nsga_ii
106.33,112.09,126.85,124.68
131.77,145.14,81.24,107.34
146.76,130.56,114.47,91.23
86.86,99.71,109.42,110.69
102.98,128.65,174.8,126.99
116.18,104.47,121.17,111.43
88.71,81.89,79.04,99.44
104.28,124.75,141.1,147.82
103.28,98.63,120.78,117.01
111.6,180.11,118.9,104.05
